Report Number,ACRS Report Type,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Drivers License State,Vehicle Damage Extent,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Parked Vehicle,Vehicle Year,Vehicle Make,Vehicle Model,Latitude,Longitude,time,day of the week,date
MCP2914003S,1,-1,9,0,-1,1,-1,-1,1,1,,7,12,5,12,8,17,1,40.0,0,2013.0,28,86,39.01545757,-76.97774112,19:49:00,Monday,2016-11-07
MCP3339001W,2,-1,15,0,0,4,1,-1,2,1,,4,12,1,11,7,5,1,40.0,0,2023.0,42,299,39.10277467,-77.03984283,12:52:00,Thursday,2023-04-20
MCP2786002N,1,-1,16,4,7,1,0,6,0,2,"RAIN, SNOW, WET",7,12,1,12,11,9,2,35.0,0,2011.0,55,381,39.025225,-77.04602667,05:07:00,Monday,2019-06-10
MCP0961001D,1,-1,14,0,7,1,1,6,2,1,,7,31,2,12,12,2,2,40.0,0,2007.0,99,421,39.16802833,-77.23141,06:03:00,Wednesday,2020-01-08
MCP30160008,1,-1,9,0,0,1,-1,6,0,1,,7,12,3,9,11,20,2,30.0,0,1999.0,8,37,39.19335167,-77.27056,19:57:00,Thursday,2015-12-31
MCP1213007V,2,-1,15,4,7,4,1,6,2,1,"RAIN, SNOW, WET",7,12,1,12,11,17,1,40.0,0,2010.0,100,61,39.14195,-76.99832167,16:50:00,Friday,2023-06-23
MCP31250017,2,-1,12,0,0,1,8,-1,2,1,,4,3,2,10,11,2,0,40.0,0,2007.0,140,37,39.07606,-77.16222167,19:50:00,Monday,2019-01-28
MCP2831002L,2,-1,15,0,0,4,1,-1,2,1,,0,12,1,12,11,9,1,35.0,0,2012.0,46,305,39.17428056,-77.28326082,19:02:00,Monday,2018-06-04
DD5605005F,2,-1,9,-1,0,1,5,6,0,1,,7,12,1,2,0,9,2,40.0,0,2015.0,137,421,39.09253883,-77.15339067,20:50:00,Thursday,2018-05-24
EJ78180007,2,-1,16,0,0,1,1,6,2,1,,7,12,1,1,11,6,4,35.0,0,2014.0,140,128,39.13021833,-77.18709,17:37:00,Monday,2015-12-21
MCP3341001P,2,-1,3,1,0,4,5,-1,0,1,,7,12,1,12,11,20,0,35.0,0,2014.0,141,239,39.09048917,-77.0484985,14:10:00,Tuesday,2023-06-20
MCP22430008,1,-1,12,0,0,1,2,6,0,1,,12,29,1,1,11,8,1,35.0,0,2013.0,23,101,38.99618167,-77.02753167,05:33:00,Friday,2016-04-01
MCP3238001P,2,-1,9,0,7,1,1,6,2,1,"RAIN, SNOW, WET",7,31,5,4,11,9,4,55.0,0,2009.0,28,182,39.01387333,-77.06196833,05:02:00,Sunday,2022-07-03
HA2400000D,1,-1,15,0,0,4,1,6,1,2,,5,12,1,12,11,9,4,25.0,0,1999.0,140,32,38.98231401,-76.9992578,17:55:00,Tuesday,2016-08-30
MCP9113001T,1,-1,9,0,0,4,1,6,2,3,,7,12,2,12,12,9,4,40.0,0,2008.0,28,193,39.06045833,-77.08901167,09:52:00,Friday,2016-09-02
MCP27390016,2,-1,3,0,0,1,1,8,2,1,"ANIMAL, N/A",3,12,0,12,11,0,4,25.0,0,2015.0,140,128,39.01605167,-76.985765,05:53:00,Saturday,2016-09-24
MCP2983004P,1,-1,9,0,0,5,1,6,0,3,,7,12,1,9,11,20,2,55.0,0,2001.0,46,53,39.07371464,-76.95567239,17:25:00,Saturday,2021-01-30
MCP1575008L,2,-1,9,0,0,4,1,6,0,1,,7,12,2,9,11,17,0,40.0,0,2018.0,1,424,39.10644167,-77.16128333,12:54:00,Thursday,2019-03-07
MCP3244001G,2,-1,16,1,0,4,1,6,0,1,,7,12,1,6,11,9,2,35.0,0,2012.0,28,198,39.01071965,-77.04100349,13:45:00,Monday,2022-03-07
MCP1366009V,1,-1,9,1,0,4,5,6,2,1,,5,12,5,12,6,17,1,40.0,0,2003.0,113,421,39.12211833,-77.17721833,10:57:00,Tuesday,2020-02-04
MCP3134000N,1,-1,9,4,7,5,1,-1,2,1,"N/A, WET",9,12,5,12,21,9,2,40.0,0,2006.0,16,458,39.02979867,-76.98369535,17:41:00,Monday,2018-11-05
MCP25860059,1,-1,9,0,0,1,1,6,0,1,,7,18,5,9,6,20,2,55.0,0,2017.0,62,444,39.18458535,-77.25504179,20:25:00,Wednesday,2020-03-04
MCP23950014,1,-1,15,4,7,4,-1,6,1,3,"RAIN, SNOW, WET",12,12,0,6,21,9,4,50.0,0,2007.0,45,304,39.15687,-77.374685,15:10:00,Saturday,2018-11-24
MCP3112005B,1,-1,16,1,0,4,5,6,2,3,,12,3,2,1,0,9,0,25.0,0,2015.0,46,141,38.98035683,-77.0919305,15:30:00,Tuesday,2021-08-17
MCP2934004J,2,-1,9,0,0,4,5,6,0,1,,7,12,5,9,0,20,4,35.0,0,2019.0,68,123,38.99021452,-77.15254052,18:46:00,Thursday,2022-04-28
MCP2752003V,2,-1,14,0,0,1,4,-1,0,1,,7,12,5,2,11,20,1,25.0,0,2010.0,45,37,39.02063333,-77.06116833,18:00:00,Monday,2020-01-13
MCP20130009,1,-1,7,0,-1,4,1,-1,2,1,,7,12,5,9,12,1,0,10.0,0,2004.0,79,72,39.05438667,-77.106445,16:33:00,Saturday,2015-03-07
MCP2674001Y,2,-1,15,4,7,1,1,6,2,1,"RAIN, SNOW, WET",7,12,1,12,11,9,1,25.0,0,2007.0,16,244,39.18727917,-77.22978867,18:45:00,Monday,2020-10-12
MCP3034001Q,1,-1,9,0,0,1,5,6,2,1,,7,12,5,12,11,17,1,50.0,0,2004.0,46,53,39.05763667,-76.96879833,22:47:00,Thursday,2018-05-03
MCP2888001Z,1,-1,9,0,0,1,5,-1,2,1,,12,-1,6,12,-1,17,4,35.0,0,0.0,146,452,39.06298617,-77.11664917,21:20:00,Tuesday,2022-09-06
MCP3230004X,1,-1,9,0,0,4,1,6,0,1,,7,12,5,9,11,17,0,35.0,0,2023.0,46,310,39.0710955,-77.10044633,15:45:00,Thursday,2023-10-26
MCP2728001S,2,-1,4,1,0,1,-1,6,0,1,,7,12,5,1,11,9,4,40.0,0,1997.0,140,36,38.99288167,-76.99137667,18:57:00,Saturday,2015-11-07
MCP2534003S,1,-1,7,0,0,1,1,6,0,3,,7,12,1,10,11,9,4,30.0,0,2010.0,84,40,39.09134267,-77.0429935,22:13:00,Saturday,2021-11-06
MCP3195003N,2,-1,9,0,0,4,5,6,0,1,,7,12,1,9,11,20,1,45.0,0,2010.0,46,134,39.0700495,-76.95765733,18:28:00,Monday,2022-06-06
EJ7849001Y,2,-1,9,0,0,4,5,6,2,1,,9,12,2,9,11,1,1,30.0,0,2010.0,4,329,39.14858368,-77.20727675,14:10:00,Tuesday,2020-10-27
MCP3331001H,2,-1,16,0,7,4,1,6,2,1,,5,12,2,2,11,1,4,25.0,0,2011.0,59,215,39.05249083,-77.06496183,07:05:00,Tuesday,2023-02-21
MCP2777001L,1,-1,9,0,0,4,-1,6,2,3,,7,12,1,12,11,17,0,30.0,0,2004.0,1,276,39.01302333,-77.09009667,16:17:00,Wednesday,2015-03-11
MCP2108001Q,2,-1,12,0,7,4,5,-1,2,1,"N/A, WET",12,-1,6,13,11,6,2,40.0,0,2013.0,52,172,39.12048583,-77.1801563,15:40:00,Monday,2023-12-11
MCP29640046,2,-1,12,-1,0,1,1,6,0,1,,7,9,2,8,0,6,4,40.0,0,2017.0,15,441,39.221875,-77.08563833,19:28:00,Sunday,2019-10-06
MCP2987007Z,2,-1,9,0,0,4,1,8,2,1,,12,-1,6,12,11,9,4,55.0,0,2021.0,15,176,39.01960951,-76.98007886,17:00:00,Tuesday,2023-08-22
MCP2904004X,1,-1,7,-1,-1,4,1,6,0,1,,7,3,5,1,11,12,-1,0.0,1,2012.0,46,53,38.99886667,-77.00212167,16:30:00,Thursday,2018-04-26
MCP2714000Q,1,-1,9,0,0,4,0,-1,2,1,,7,12,5,12,11,9,1,45.0,0,2006.0,1,37,39.05975333,-77.08876333,16:02:00,Sunday,2018-08-05
MCP32790027,1,-1,9,0,-1,4,5,6,0,3,,7,12,2,9,11,20,4,40.0,0,2018.0,46,113,39.07850151,-77.13023186,08:25:00,Friday,2023-06-02
EJ7881000G,1,2,15,0,0,4,4,6,2,1,,5,12,3,12,11,7,2,45.0,0,2015.0,140,69,39.11366332,-77.21611437,18:30:00,Tuesday,2020-06-09
MCP1205008F,2,-1,13,0,0,1,1,6,0,1,,7,12,5,1,11,9,4,30.0,0,2018.0,46,242,38.99994169,-77.07775708,23:55:00,Saturday,2022-10-15
MCP31990018,1,-1,9,1,-1,4,5,6,0,1,,7,12,5,9,11,20,4,40.0,0,2018.0,55,254,39.075735,-77.00109833,10:43:00,Saturday,2020-01-25
MCP2622002J,1,-1,3,0,0,-1,5,6,0,2,,7,12,1,12,11,20,1,45.0,0,2012.0,28,198,39.112575,-76.932578,12:11:00,Monday,2021-04-05
DD5605003S,1,-1,9,1,0,4,5,6,2,2,,4,12,1,12,11,9,0,40.0,0,2008.0,99,421,39.0899025,-77.17847367,09:59:00,Sunday,2017-06-18
MCP3230003M,2,-1,14,0,0,4,1,6,2,1,,7,12,5,3,11,2,0,25.0,0,2017.0,100,463,39.08029793,-77.07885076,17:00:00,Friday,2022-10-28
MCP1221001M,1,-1,9,0,7,4,5,6,2,1,"N/A, WET",12,12,5,12,11,17,0,35.0,0,2006.0,100,61,39.14388468,-77.22364068,09:26:00,Thursday,2015-10-29
MCP3066000J,2,-1,4,0,7,1,5,-1,2,1,"N/A, WET",12,12,1,12,11,6,4,25.0,0,2017.0,46,114,38.95952,-77.087515,22:23:00,Friday,2017-12-15
MCP28770091,2,-1,14,0,0,4,1,8,2,1,,12,12,5,6,11,9,1,30.0,0,2015.0,88,224,38.97316015,-77.16006157,13:00:00,Monday,2021-06-21
MCP31500011,1,-1,9,4,7,1,5,-1,2,1,"N/A, WET",7,12,2,12,11,16,1,50.0,0,2009.0,140,241,39.05582833,-76.97146667,22:36:00,Tuesday,2019-08-06
MCP26650021,1,-1,9,0,0,1,1,-1,2,1,,4,12,1,12,11,9,2,40.0,0,2014.0,24,70,39.031895,-77.10585,18:58:00,Friday,2017-03-10
MCP3101000Z,1,-1,9,4,7,1,5,8,2,2,,12,-1,6,12,-1,-1,0,0.0,0,0.0,146,452,39.14988333,-77.23382667,22:26:00,Wednesday,2018-07-25
